input name,score,in-zone-traffic score,deviation score,slice score,max deviation,mean deviation,SD of deviation
2 zones with no endpoints,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
1 zone with no endpoints,63.8649,40.1279,94.5344,50.0000,4.1095%,6.8217%,0.1136
2 zones with few endpoints,69.8667,46.6667,94.6667,66.6667,4.0000%,6.6667%,0.1116
balanced minimal endpoints,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
unbalanced minimal endpoints,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
only 1 endpoint,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
only 2 endpoint,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
somewhat balanced small,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
somewhat balanced medium,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
somewhat balanced large,83.2158,94.8553,88.1842,50.0000,18.6933%,4.9383%,0.0838
somewhat balanced huge,90.2289,91.6893,88.4285,90.9091,17.7629%,5.3801%,0.0935
balanced endpoints - uneven nodes,74.3210,35.8025,100.0000,100.0000,0.0000%,0.0000%,0.0000
unbalanced endpoints - uneven nodes,70.0367,71.9505,78.1413,50.0000,26.0023%,17.7152%,0.2640
mostly balanced small - uneven nodes,72.5714,31.4286,100.0000,100.0000,0.0000%,0.0000%,0.0000
mostly balanced medium - uneven nodes,74.1097,35.2744,100.0000,100.0000,0.0000%,0.0000%,0.0000
mostly balanced large - uneven nodes,86.4860,97.1575,89.0574,60.0000,19.0030%,2.8823%,0.0547
perfectly balanced small,75.5556,38.8889,100.0000,100.0000,0.0000%,0.0000%,0.0000
perfectly balanced medium,73.4068,33.5170,100.0000,100.0000,0.0000%,0.0000%,0.0000
perfectly balanced large,96.0000,100.0000,100.0000,80.0000,0.0000%,0.0000%,0.0000
